Name,Card Type,Rating,Current Index,Current Price,General Position,Position,Nation,Club,League
Messi,TOTY,99,35.04,2281118.0,Forward,RW,Argentina,FC Barcelona,ESP 1
Lewandowski,TOTSSF,99,31.8,1016500.0,Forward,ST,Poland,Bayern München,GER 1
De Bruyne,TOTSSF,99,32.09,1493222.0,Midfielder,CM,Belgium,Manchester City,ENG 1
Messi,TOTSSF,99,48.44,2300000.0,Forward,RW,Argentina,FC Barcelona,ESP 1
Pele,IconMoment,99,53.48,8021878.0,Forward,ST,Brazil,Icons,ICO
van Dijk,TOTSSF,99,70.13,1957313.0,Defender,CB,Netherlands,Liverpool,ENG 1
van Dijk,TOTY,99,36.04,1987500.0,Defender,CB,Netherlands,Liverpool,ENG 1
Cristiano Ronaldo,TOTY,99,35.1,2864583.0,Forward,ST,Portugal,Piemonte Calcio,ITA 1
Maradona,IconMoment,99,45.16,6218840.0,Midfielder,CAM,Argentina,Icons,ICO
Cristiano Ronaldo,TOTSSF,99,37.19,2939571.0,Forward,ST,Portugal,Piemonte Calcio,ITA 1
De Bruyne,TOTY,98,30.14,1047818.0,Midfielder,CAM,Belgium,Manchester City,ENG 1
Mané,TOTSSF,98,31.26,923250.0,Forward,LW,Senegal,Liverpool,ENG 1
Mbappe,TOTY,98,38.47,2480667.0,Forward,ST,France,Paris Saint-Germain,FRA 1
Pele,Icon,98,24.08,3569600.0,Midfielder,CAM,Brazil,Icons,ICO
Neymar Jr,TOTSSF,98,51.38,3575842.0,Forward,LW,Brazil,Paris Saint-Germain,FRA 1
Mbappe,TOTSSF,98,58.9,2650769.0,Forward,ST,France,Paris Saint-Germain,FRA 1
Ronaldo,IconMoment,97,100.0,15000000.0,Forward,ST,Brazil,Icons,ICO
Maradona,Icon,97,18.0,2489923.0,Midfielder,CAM,Argentina,Icons,ICO
Luis Alberto,TOTSSF,97,31.67,144500.0,Midfielder,CM,Spain,Lazio,ITA 1
Zidane,IconMoment,97,56.88,8531723.0,Midfielder,CAM,France,Icons,ICO
Alisson,TOTY,97,13.51,118286.0,Goalkeeper,GK,Brazil,Liverpool,ENG 1
Lewandowski,Headliner,97,65.17,260667.0,Forward,ST,Poland,Bayern München,GER 1
Salah,TOTSSF,97,40.19,669500.0,Forward,RW,Egypt,Liverpool,ENG 1
Mané,TOTY,97,21.35,701500.0,Forward,LW,Senegal,Liverpool,ENG 1
Kanté,TOTY,97,45.78,1439643.0,Midfielder,CDM,France,Chelsea,ENG 1
Suárez,TOTSSF,97,17.64,369750.0,Forward,ST,Uruguay,FC Barcelona,ESP 1
Alisson,TOTSSF,97,46.5,118500.0,Goalkeeper,GK,Brazil,Liverpool,ENG 1
Messi,TOTWMoments,97,36.55,1526500.0,Midfielder,CAM,Argentina,FC Barcelona,ESP 1
Varane,TOTSSF,97,32.0,818333.0,Defender,CB,France,Real Madrid,ESP 1
Ben Yedder,TOTSSF,97,56.24,3148387.0,Forward,ST,France,AS Monaco,FRA 1
Werner,TOTSSF,97,23.74,430647.0,Forward,ST,Germany,RB Leipzig,GER 1
Benzema,TOTSSF,97,18.87,277167.0,Forward,CF,France,Real Madrid,ESP 1
Iličić,TOTSSF,96,49.55,107000.0,Forward,ST,Slovenia,Atalanta,ITA 1
Griezmann,TOTSSF,96,21.7,281714.0,Forward,LW,France,FC Barcelona,ESP 1
De Bruyne,Inform,96,154.78,501867.0,Midfielder,CM,Belgium,Manchester City,ENG 1
Vela,TOTSSF,96,40.6,113688.0,Forward,RW,Mexico,Los Angeles FC,USA 1
Di María,TOTSSF,96,21.01,120000.0,Forward,RW,Argentina,Paris Saint-Germain,FRA 1
Messi,UCLTOTT,96,23.19,731000.0,Forward,RW,Argentina,FC Barcelona,ESP 1
Fekir,TOTSSF,96,17.42,180750.0,Midfielder,CAM,France,Real Betis Balompié,ESP 1
Messi,Shapeshifter,96,20.87,1052214.0,Forward,CF,Argentina,FC Barcelona,ESP 1
Gómez,TOTSSF,96,20.62,224333.0,Midfielder,CAM,Argentina,Atalanta,ITA 1
Hummels,TOTSSF,96,43.29,95700.0,Defender,CB,Germany,Borussia Dortmund,GER 1
Sancho,TOTSSF,96,21.34,332600.0,Forward,RF,England,Borussia Dortmund,GER 1
Kimmich,TOTSSF,96,27.83,171500.0,Midfielder,CDM,Germany,Bayern München,GER 1
