Dates Overtime,Indexes Overtime
2019-09-29,100.0
2019-09-30,102.22
2019-10-01,103.4
2019-10-02,106.07
2019-10-03,106.79
2019-10-04,104.43
2019-10-05,103.85
2019-10-07,112.0
2019-10-08,112.05
2019-10-09,106.58500000000001
2019-10-10,106.45
2019-10-11,101.19
2019-10-12,100.0
2019-10-13,100.0
2019-10-14,106.06
2019-10-15,103.72
2019-10-16,96.77
2019-10-17,100.0
2019-10-18,100.0
2019-10-19,100.0
2019-10-20,97.285
2019-10-21,100.0
2019-10-22,100.0
2019-10-23,91.82
2019-10-24,94.9
2019-10-25,97.03999999999999
2019-10-26,100.0
2019-10-28,90.0
2019-10-29,92.225
2019-10-30,88.89
2019-10-31,85.0
2019-11-01,95.59
2019-11-02,100.0
2019-11-03,103.17500000000001
2019-11-04,88.89
2019-11-05,93.72
2019-11-06,96.56
2019-11-07,88.89
2019-11-08,91.23
2019-11-09,100.0
2019-11-10,100.0
2019-11-11,100.0
2019-11-12,100.0
2019-11-13,100.0
2019-11-14,86.12
2019-11-15,88.89
2019-11-16,96.545
2019-11-17,97.15
2019-11-18,86.36
2019-11-19,88.83
2019-11-20,88.89
2019-11-21,84.38
2019-11-22,82.73
2019-11-23,93.28999999999999
2019-11-24,90.32
2019-11-25,81.22
2019-11-26,90.0
2019-11-27,90.0
2019-11-28,88.89
2019-11-29,87.5
2019-11-30,90.09
2019-12-01,88.56
2019-12-02,82.35
2019-12-03,91.67
2019-12-04,95.345
2019-12-05,87.91
2019-12-06,91.91
2019-12-07,99.69
2019-12-08,100.0
2019-12-09,83.58500000000001
2019-12-10,93.33
2019-12-11,93.32
2019-12-12,91.11
2019-12-13,90.0
2019-12-14,93.33
2019-12-15,95.06
2019-12-16,84.21
2019-12-17,86.67
2019-12-18,87.73
2019-12-19,81.76
2019-12-20,81.25
2019-12-21,88.24
2019-12-22,87.5
2019-12-23,78.96
2019-12-24,83.15
2019-12-25,93.94999999999999
2019-12-26,90.13
2019-12-27,95.815
2019-12-28,94.44
2019-12-29,97.33
2019-12-30,85.74
2019-12-31,86.97999999999999
2020-01-01,87.7
2020-01-02,86.47999999999999
2020-01-03,89.43
2020-01-04,92.6
2020-01-05,94.23
2020-01-06,84.2
2020-01-07,88.24
2020-01-08,87.6
2020-01-09,90.0
2020-01-10,81.82
2020-01-11,96.0
2020-01-12,99.58500000000001
2020-01-13,89.83
2020-01-14,98.34
2020-01-15,88.42
2020-01-16,85.67
2020-01-17,87.545
2020-01-18,90.0
2020-01-19,96.0
2020-01-20,84.71
2020-01-21,89.75
2020-01-22,95.5
2020-01-23,85.21000000000001
2020-01-24,88.24
2020-01-25,95.88
2020-01-26,99.065
2020-01-27,86.6
2020-01-28,88.0
2020-01-29,89.66499999999999
2020-01-30,87.5
2020-01-31,87.5
2020-02-01,94.28
2020-02-02,95.0
2020-02-03,86.025
2020-02-04,86.3
2020-02-05,90.67
2020-02-06,87.23
2020-02-07,86.67
2020-02-08,88.24
2020-02-09,96.67
2020-02-10,88.0
2020-02-11,86.17
2020-02-12,95.16499999999999
2020-02-13,92.32
2020-02-14,93.75
2020-02-15,91.975
2020-02-16,90.67
2020-02-17,82.99000000000001
2020-02-18,83.26
2020-02-19,88.5
2020-02-20,89.95
2020-02-21,90.91
2020-02-22,93.47
2020-02-23,97.505
2020-02-24,89.31
2020-02-25,90.14
2020-02-26,96.62
2020-02-27,90.095
2020-02-28,84.0
2020-02-29,88.22
2020-03-01,89.12
2020-03-02,82.0
2020-03-03,83.31
2020-03-04,87.725
2020-03-05,84.36
2020-03-06,85.27
2020-03-07,83.33
2020-03-08,81.82
2020-03-09,76.35
2020-03-10,82.525
2020-03-11,80.35
2020-03-12,84.2
2020-03-13,86.32
2020-03-14,94.12
2020-03-15,93.15
2020-03-16,85.57
2020-03-17,88.74000000000001
2020-03-18,91.43
2020-03-19,90.16
2020-03-20,85.695
2020-03-21,90.67
2020-03-22,94.5
2020-03-23,88.19
2020-03-24,94.745
2020-03-25,96.55
2020-03-26,95.75
2020-03-27,96.755
2020-03-28,96.33
2020-03-29,91.37
2020-03-30,90.76
2020-04-03,100.0
2020-04-04,97.58
2020-04-05,90.96
2020-04-06,95.87
2020-04-07,100.0
2020-04-08,95.29
2020-04-09,92.47
2020-04-10,95.0
2020-04-11,99.83
2020-04-12,92.67
2020-04-13,94.89
2020-04-14,100.0
2020-04-15,96.91
2020-04-16,91.67
2020-04-17,90.43
2020-04-18,93.0
2020-04-19,88.89
2020-04-20,91.67
2020-04-21,94.63
2020-04-22,94.42
2020-04-23,94.32499999999999
2020-04-24,93.11500000000001
2020-04-25,100.0
2020-04-26,93.75
2020-04-27,96.985
2020-04-28,102.86
2020-04-29,96.43
2020-04-30,100.0
2020-05-01,100.0
2020-05-02,103.21000000000001
2020-05-03,93.33
2020-05-04,100.0
2020-05-05,102.935
2020-05-06,95.41499999999999
2020-05-07,101.235
2020-05-08,100.0
2020-05-09,101.24000000000001
2020-05-10,90.22999999999999
2020-05-11,90.28
2020-05-12,92.84
2020-05-13,85.435
2020-05-14,88.89
2020-05-15,90.91
2020-05-16,93.33
2020-05-17,85.6
2020-05-18,83.38
2020-05-19,83.05000000000001
2020-05-20,80.36
2020-05-21,84.21
2020-05-22,90.075
2020-05-23,90.695
2020-05-24,84.21
2020-05-25,86.63
2020-05-26,94.12
2020-05-27,88.86
2020-05-28,88.89
2020-05-29,92.59
2020-05-30,94.4
2020-05-31,87.5
2020-06-01,87.82
2020-06-02,89.29
2020-06-03,85.93
2020-06-04,87.26
2020-06-05,89.47
2020-06-06,93.75
2020-06-07,83.015
2020-06-08,85.71
2020-06-09,86.36
2020-06-10,83.35499999999999
2020-06-11,83.33
2020-06-12,80.43
2020-06-13,83.33
2020-06-14,78.13499999999999
2020-06-15,80.0
2020-06-16,80.0
2020-06-17,80.0
2020-06-18,80.0
2020-06-19,80.0
2020-06-20,80.0
2020-06-21,80.0
2020-06-22,80.0
2020-06-29,100.0
2020-06-30,103.81
2020-07-01,100.0
2020-07-02,92.63499999999999
2020-07-03,96.99
2020-07-04,100.0
2020-07-05,125.0
2020-07-06,126.7
2020-07-07,127.93
2020-07-08,121.43
2020-07-09,125.41
2020-07-10,126.65
2020-07-11,128.06
2020-07-12,107.53
2020-07-13,104.35
2020-07-14,100.0
2020-07-15,106.485
2020-07-16,100.0
2020-07-17,109.74000000000001
2020-07-18,105.26
2020-07-19,97.91
2020-07-20,102.47
2020-07-21,100.0
2020-07-22,105.205
2020-07-23,104.875
2020-07-24,102.345
2020-07-25,100.0
2020-07-26,91.25999999999999
2020-07-27,88.38
2020-07-28,88.175
2020-07-29,94.255
2020-07-30,98.56
2020-07-31,96.0
2020-08-01,95.0
2020-08-02,88.63999999999999
2020-08-03,88.07499999999999
2020-08-04,91.78
2020-08-05,91.39500000000001
2020-08-06,95.15
2020-08-07,100.0
2020-08-08,102.36
2020-08-09,100.0
2020-08-10,100.44
2020-08-11,103.7
2020-08-12,101.75
2020-08-13,100.0
2020-08-14,110.735
2020-08-15,117.5
2020-08-16,110.625
2020-08-17,114.245
2020-08-18,125.0
2020-08-19,117.0
2020-08-20,122.725
2020-08-21,145.83
2020-08-22,123.9
2020-08-23,118.8
2020-08-24,112.255
2020-08-25,111.58
2020-08-26,119.5
2020-08-27,118.52
2020-08-28,114.85499999999999
2020-08-29,120.0
2020-08-30,108.56
2020-08-31,123.12
2020-09-01,145.45
2020-09-02,133.57999999999998
2020-09-03,142.485
2020-09-04,137.89999999999998
2020-09-05,147.14
2020-09-06,132.8
2020-09-07,138.22
2020-09-08,142.885
2020-09-09,134.585
2020-09-10,136.505
2020-09-11,114.97
2020-09-12,111.5
2020-09-13,100.8
2020-09-14,96.82499999999999
2020-09-15,100.0
2020-09-16,100.0
2020-09-17,98.5
2020-09-18,101.875
2020-09-19,104.185
2020-09-20,98.55
2020-09-21,95.0
2020-09-22,96.825
2020-09-23,96.6
2020-09-24,97.815
2020-09-25,80.0
2020-09-26,80.0
