Nation,Counts
Spain,434
France,425
Argentina,373
Brazil,346
England,323
Germany,291
Italy,235
Netherlands,187
Portugal,170
Belgium,126
Colombia,107
Denmark,72
Uruguay,72
Croatia,63
Morocco,63
Mexico,62
Serbia,56
Austria,53
Senegal,52
Turkey,50
Norway,48
Switzerland,47
Ivory Coast,46
Chile,46
Poland,44
Nigeria,44
Ukraine,38
Czech Republic,37
Japan,36
Sweden,34
Algeria,33
Scotland,32
Wales,28
Romania,28
Greece,27
Slovenia,27
United States,27
Russia,27
Paraguay,25
Ghana,23
Republic of Ireland,23
Korea Republic,20
Cameroon,18
Slovakia,16
Bosnia Herzegovina,15
Gabon,14
Finland,13
Egypt,12
Mali,11
Costa Rica,10
DR Congo,10
Venezuela,10
Hungary,9
Togo,9
Armenia,8
Northern Ireland,8
Montenegro,7
Guinea,7
Jamaica,7
Israel,7
Ecuador,7
Cape Verde Islands,7
Kosovo,7
China PR,7
Peru,7
FYR Macedonia,7
Albania,6
Canada,6
Angola,6
Tunisia,5
Australia,5
Saudi Arabia,4
South Africa,4
Bulgaria,4
New Zealand,4
Syria,4
Dominican Republic,3
CAR,3
Moldova,3
Iran,3
Guinea Bissau,3
Gambia,2
Georgia,2
Sierra Leone,2
Tanzania,2
Burkina Faso,2
Mozambique,2
Madagascar,2
Zimbabwe,2
Honduras,1
Equatorial Guinea,1
Chad,1
Cuba,1
Congo,1
Bermuda,1
Luxemburg,1
Cyprus,1
Iraq,1
Benin,1
Burundi,1
Philippines,1
Iceland,1
Zambia,1
Kenya,1
Uzbekistan,1
Estonia,1
