Name,Rating,Position,General Position,Skills,Weakfoot,Age,Height(cm),Weight(kg),Workrate,Foot,Card Type,Nation,Club,League,Total Stats,Average Price,Median Price,Current Price,PAC,Acceleration,Sprint Speed,SHO,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,PAS,Vision,Crossing,FK.Acc.,Short Pass,Long Pass,Curve,DRI,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,DEF,Interceptions,Heading Acc.,Def. Awareness,Stand Tackle,Slide Tackle,PHY,Jumping,Stamina,Strength,Aggression
De Bruyne,99,CM,Midfielder,4,5,28,181,70,HIGH/HIGH,Right,AwardWinner,Belgium,Manchester City,ENG 1,2681,,,,92,93.0,92.0,97,99.0,92.0,99.0,99.0,92.0,89.0,99,99.0,99.0,89.0,99.0,97.0,91.0,98,87.0,85.0,99.0,99.0,96.0,99.0,90,90.0,81.0,99.0,85.0,75.0,95,76.0,99.0,90.0,92.0
Messi,99,RW,Forward,4,4,32,170,72,MED/LOW,Left,TOTY,Argentina,FC Barcelona,ESP 1,2519,3377130.57,3419167.0,2281118.0,96,99.0,92.0,98,99.0,99.0,91.0,99.0,93.0,79.0,99,99.0,94.0,99.0,99.0,99.0,99.0,99,95.0,97.0,97.0,99.0,99.0,99.0,50,51.0,89.0,42.0,47.0,33.0,85,87.0,96.0,87.0,61.0
Lewandowski,99,ST,Forward,4,4,31,184,80,HIGH/MED,Right,TOTSSF,Poland,Bayern München,GER 1,2541,1199365.58,904250.0,1016500.0,94,94.0,94.0,99,99.0,99.0,99.0,95.0,99.0,97.0,95,98.0,79.0,99.0,99.0,83.0,98.0,97,89.0,93.0,99.0,99.0,97.0,98.0,50,47.0,99.0,41.0,51.0,23.0,94,96.0,89.0,96.0,92.0
De Bruyne,99,CM,Midfielder,4,5,28,181,70,HIGH/HIGH,Right,TOTSSF,Belgium,Manchester City,ENG 1,2681,2222830.92,2038016.5,1493222.0,92,93.0,92.0,97,99.0,92.0,99.0,99.0,92.0,89.0,99,99.0,99.0,89.0,99.0,97.0,91.0,98,87.0,85.0,99.0,99.0,96.0,99.0,90,90.0,81.0,99.0,85.0,75.0,95,76.0,99.0,90.0,92.0
Messi,99,RW,Forward,4,4,32,170,72,MED/LOW,Left,TOTSSF,Argentina,FC Barcelona,ESP 1,2473,2286616.93,2160000.0,2300000.0,98,99.0,94.0,99,99.0,99.0,92.0,99.0,94.0,80.0,99,99.0,94.0,99.0,99.0,99.0,99.0,99,95.0,97.0,97.0,99.0,99.0,99.0,44,45.0,78.0,37.0,41.0,29.0,80,82.0,90.0,82.0,58.0
Pele,99,ST,Forward,5,4,78,173,70,HIGH/MED,Right,IconMoment,Brazil,Icons,ICO,2572,7411795.64,6146371.0,8021878.0,97,97.0,97.0,98,99.0,99.0,96.0,95.0,99.0,93.0,95,98.0,92.0,89.0,98.0,91.0,89.0,99,96.0,95.0,99.0,99.0,99.0,99.0,62,68.0,97.0,57.0,54.0,50.0,81,93.0,91.0,83.0,60.0
van Dijk,99,CB,Defender,2,3,28,193,92,MED/MED,Right,TOTSSF,Netherlands,Liverpool,ENG 1,2533,1794027.38,1726090.5,1957313.0,87,83.0,89.0,80,62.0,69.0,99.0,85.0,60.0,82.0,91,84.0,68.0,91.0,99.0,99.0,78.0,91,77.0,66.0,99.0,96.0,88.0,99.0,99,97.0,94.0,99.0,99.0,93.0,99,99.0,86.0,99.0,94.0
van Dijk,99,CB,Defender,2,3,28,193,92,MED/MED,Right,TOTY,Netherlands,Liverpool,ENG 1,2533,2571784.38,2227615.0,1987500.0,88,84.0,90.0,80,62.0,69.0,99.0,85.0,60.0,82.0,92,85.0,69.0,92.0,99.0,99.0,78.0,90,76.0,66.0,99.0,95.0,87.0,99.0,99,97.0,94.0,99.0,99.0,93.0,98,99.0,85.0,99.0,93.0
Cristiano Ronaldo,99,ST,Forward,5,4,34,187,83,HIGH/LOW,Right,TOTY,Portugal,Piemonte Calcio,ITA 1,2491,5832808.12,6676714.0,2864583.0,97,95.0,98.0,99,99.0,99.0,99.0,99.0,92.0,90.0,92,92.0,94.0,85.0,93.0,86.0,90.0,98,95.0,78.0,99.0,99.0,98.0,99.0,45,37.0,99.0,36.0,41.0,30.0,95,99.0,99.0,95.0,76.0
Maradona,99,CAM,Midfielder,5,3,58,165,70,HIGH/MED,Left,IconMoment,Argentina,Icons,ICO,2463,4858515.77,4438316.0,6218840.0,97,99.0,95.0,96,96.0,99.0,88.0,97.0,90.0,97.0,94,97.0,89.0,97.0,95.0,92.0,97.0,99,93.0,99.0,95.0,99.0,99.0,99.0,42,48.0,71.0,28.0,44.0,38.0,80,86.0,81.0,78.0,77.0
