Name,Card Type,Rating,Position,Current Index,Current Price
Schweinsteiger,Non-Inform,76,CB,7321.43,51250.0
Bustos,Non-Inform,77,RB,2631.58,25000.0
En-Nesyri,Non-Inform,76,ST,2222.22,10000.0
Schaub,Non-Inform,75,CAM,2222.22,10000.0
Domingo,Non-Inform,75,CDM,2200.0,9900.0
Miranda,Non-Inform,77,CM,2164.71,9200.0
Rupp,Non-Inform,75,CM,2105.26,10000.0
Katai,Non-Inform,75,LM,2000.0,10000.0
Gnahoré,Non-Inform,75,CM,1988.6,9943.0
Berić,Non-Inform,75,ST,1953.4,9767.0
Pablo Santos,Non-Inform,76,CB,1841.33,8286.0
Hernández,Non-Inform,78,ST,1780.89,8014.0
Ki Sung Yueng,Non-Inform,76,CM,1710.16,9423.0
Krmenčík,Non-Inform,75,ST,1688.5,6754.0
Morrison,Non-Inform,76,CAM,1675.11,7538.0
Prijović,Non-Inform,75,ST,1612.18,8867.0
Amadou,Non-Inform,78,CDM,1606.0,8833.0
Tévez,Non-Inform,78,CAM,1561.11,7025.0
Fernández,Non-Inform,75,CM,1538.46,10000.0
Vázquez,Non-Inform,75,CDM,1492.5,5970.0
