Total Stats,Counts
2681,2
2648,1
2647,1
2644,1
2639,1
2637,1
2634,1
2626,1
2625,1
2622,1
2620,1
2617,1
2616,1
2612,2
2610,1
2609,2
2608,2
2603,2
2598,2
2591,1
2590,1
2589,1
2587,2
2586,2
2585,1
2584,3
2582,1
2581,1
2580,1
2579,2
2577,1
2575,2
2572,2
2571,1
2569,1
2567,2
2566,1
2565,1
2564,2
2562,4
2560,2
2558,1
2557,1
2556,1
2553,3
2550,2
2549,2
2546,1
2545,2
2544,1
2541,1
2540,1
2536,1
2534,2
2533,3
2531,1
2530,1
2529,2
2528,2
2527,2
2525,2
2524,3
2523,1
2522,2
2521,5
2519,2
2518,1
2517,2
2516,1
2514,3
2513,2
2508,1
2507,5
2506,1
2505,1
2503,4
2499,4
2498,2
2497,3
2495,1
2494,2
2493,4
2491,2
2490,1
2489,2
2488,3
2487,2
2486,2
2485,2
2484,2
2482,4
2481,1
2480,1
2479,1
2477,1
2476,1
2475,4
2474,3
2473,2
2472,1
2471,5
2470,1
2469,1
2468,2
2467,1
2466,2
2465,1
2463,1
2462,2
2461,1
2460,5
2459,2
2458,3
2456,1
2455,1
2454,4
2453,1
2452,4
2451,2
2449,3
2448,2
2447,3
2446,1
2445,1
2444,3
2443,4
2442,4
2441,5
2440,3
2439,2
2438,3
2437,1
2436,3
2435,4
2433,4
2432,2
2430,2
2429,3
2428,2
2427,2
2426,1
2425,2
2424,4
2423,1
2422,1
2421,1
2420,2
2419,2
2418,5
2417,3
2416,2
2415,2
2414,5
2413,4
2412,3
2411,2
2410,3
2409,2
2408,3
2407,2
2406,4
2405,5
2404,2
2403,1
2402,1
2401,1
2400,2
2399,1
2398,11
2397,1
2396,1
2395,3
2394,4
2393,1
2392,4
2391,2
2390,3
2389,2
2388,2
2387,5
2385,2
2384,4
2383,6
2382,2
2381,5
2380,3
2379,3
2378,5
2377,4
2376,3
2375,6
2374,4
2373,3
2372,4
2371,2
2370,6
2369,1
2368,2
2366,2
2365,3
2364,2
2363,5
2362,2
2361,7
2360,5
2359,3
2358,1
2357,8
2356,3
2355,2
2354,4
2353,2
2351,2
2350,7
